F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,7.140816909454442,0.11,6.0
102000,76800000,2,7.4052132701421804,0.09,6.0
102000,76800000,3,7.6657723265619016,0.05,6.0
102000,76800000,4,7.9693975135479755,0.04,6.0
102000,153600000,1,7.140816909454442,0.11,32.0
102000,153600000,2,7.4052132701421804,0.09,32.0
102000,153600000,3,7.6657723265619016,0.05,32.0
102000,153600000,4,7.9693975135479755,0.04,32.0
102000,230400000,1,7.140816909454442,0.11,37.0
102000,230400000,2,7.4052132701421804,0.09,37.0
102000,230400000,3,7.6657723265619016,0.05,37.0
102000,230400000,4,7.9693975135479755,0.04,37.0
102000,307200000,1,7.140816909454442,0.11,42.0
102000,307200000,2,7.4052132701421804,0.09,42.0
102000,307200000,3,7.6657723265619016,0.05,42.0
102000,307200000,4,7.9693975135479755,0.04,42.0
102000,384000000,1,7.140816909454442,0.11,42.0
102000,384000000,2,7.4052132701421804,0.09,42.0
102000,384000000,3,7.6657723265619016,0.05,42.0
102000,384000000,4,7.9693975135479755,0.04,42.0
102000,460800000,1,7.140816909454442,0.11,42.0
102000,460800000,2,7.4052132701421804,0.09,42.0
102000,460800000,3,7.6657723265619016,0.05,42.0
102000,460800000,4,7.9693975135479755,0.04,42.0
102000,537600000,1,7.140816909454442,0.11,42.0
102000,537600000,2,7.4052132701421804,0.09,42.0
102000,537600000,3,7.6657723265619016,0.05,42.0
102000,537600000,4,7.9693975135479755,0.04,42.0
102000,614400000,1,7.140816909454442,0.11,42.0
102000,614400000,2,7.4052132701421804,0.09,42.0
102000,614400000,3,7.6657723265619016,0.05,42.0
102000,614400000,4,7.9693975135479755,0.04,42.0
102000,691200000,1,7.140816909454442,0.11,76.0
102000,691200000,2,7.4052132701421804,0.09,76.0
102000,691200000,3,7.6657723265619016,0.05,76.0
102000,691200000,4,7.9693975135479755,0.04,76.0
102000,768000000,1,7.140816909454442,0.11,85.0
102000,768000000,2,7.4052132701421804,0.09,85.0
102000,768000000,3,7.6657723265619016,0.05,85.0
102000,768000000,4,7.9693975135479755,0.04,85.0
102000,844800000,1,7.140816909454442,0.11,85.0
102000,844800000,2,7.4052132701421804,0.09,85.0
102000,844800000,3,7.6657723265619016,0.05,85.0
102000,844800000,4,7.9693975135479755,0.04,85.0
102000,921600000,1,7.140816909454442,0.11,127.0
102000,921600000,2,7.4052132701421804,0.09,127.0
102000,921600000,3,7.6657723265619016,0.05,127.0
102000,921600000,4,7.9693975135479755,0.04,127.0
204000,76800000,1,14.649868151186638,0.11,6.0
204000,76800000,2,16.025641025641026,0.07,6.0
204000,76800000,3,16.4257555847569,0.05,6.0
204000,76800000,4,16.305233980107616,0.06,6.0
204000,153600000,1,14.649868151186638,0.11,32.0
204000,153600000,2,16.025641025641026,0.07,32.0
204000,153600000,3,16.4257555847569,0.05,32.0
204000,153600000,4,16.305233980107616,0.06,32.0
204000,230400000,1,14.649868151186638,0.11,37.0
204000,230400000,2,16.025641025641026,0.07,37.0
204000,230400000,3,16.4257555847569,0.05,37.0
204000,230400000,4,16.305233980107616,0.06,37.0
204000,307200000,1,14.649868151186638,0.11,42.0
204000,307200000,2,16.025641025641026,0.07,42.0
204000,307200000,3,16.4257555847569,0.05,42.0
204000,307200000,4,16.305233980107616,0.06,42.0
204000,384000000,1,14.649868151186638,0.11,42.0
204000,384000000,2,16.025641025641026,0.07,42.0
204000,384000000,3,16.4257555847569,0.05,42.0
204000,384000000,4,16.305233980107616,0.06,42.0
204000,460800000,1,14.649868151186638,0.11,42.0
204000,460800000,2,16.025641025641026,0.07,42.0
204000,460800000,3,16.4257555847569,0.05,42.0
204000,460800000,4,16.305233980107616,0.06,42.0
204000,537600000,1,14.649868151186638,0.11,42.0
204000,537600000,2,16.025641025641026,0.07,42.0
204000,537600000,3,16.4257555847569,0.05,42.0
204000,537600000,4,16.305233980107616,0.06,42.0
204000,614400000,1,14.649868151186638,0.11,42.0
204000,614400000,2,16.025641025641026,0.07,42.0
204000,614400000,3,16.4257555847569,0.05,42.0
204000,614400000,4,16.305233980107616,0.06,42.0
204000,691200000,1,14.649868151186638,0.11,76.0
204000,691200000,2,16.025641025641026,0.07,76.0
204000,691200000,3,16.4257555847569,0.05,76.0
204000,691200000,4,16.305233980107616,0.06,76.0
204000,768000000,1,14.649868151186638,0.11,85.0
204000,768000000,2,16.025641025641026,0.07,85.0
204000,768000000,3,16.4257555847569,0.05,85.0
204000,768000000,4,16.305233980107616,0.06,85.0
204000,844800000,1,14.649868151186638,0.11,85.0
204000,844800000,2,16.025641025641026,0.07,85.0
204000,844800000,3,16.4257555847569,0.05,85.0
204000,844800000,4,16.305233980107616,0.06,85.0
204000,921600000,1,14.649868151186638,0.11,127.0
204000,921600000,2,16.025641025641026,0.07,127.0
204000,921600000,3,16.4257555847569,0.05,127.0
204000,921600000,4,16.305233980107616,0.06,127.0
307200,76800000,1,21.753317380900587,0.11,6.0
307200,76800000,2,23.83222116301239,0.07,6.0
307200,76800000,3,23.607176581680832,0.05,6.0
307200,76800000,4,24.654832347140037,0.04,6.0
307200,153600000,1,21.753317380900587,0.11,32.0
307200,153600000,2,23.83222116301239,0.07,32.0
307200,153600000,3,23.607176581680832,0.05,32.0
307200,153600000,4,24.654832347140037,0.04,32.0
307200,230400000,1,21.753317380900587,0.11,37.0
307200,230400000,2,23.83222116301239,0.07,37.0
307200,230400000,3,23.607176581680832,0.05,37.0
307200,230400000,4,24.654832347140037,0.04,37.0
307200,307200000,1,21.753317380900587,0.11,42.0
307200,307200000,2,23.83222116301239,0.07,42.0
307200,307200000,3,23.607176581680832,0.05,42.0
