F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
307200,307200000,1,6.687174000267487,0.25,42.0
307200,307200000,2,7.642922653622745,0.15,42.0
307200,307200000,3,7.882705344474224,0.12,42.0
307200,307200000,4,8.165931732810714,0.09,42.0
307200,384000000,1,6.687174000267487,0.25,42.0
307200,384000000,2,7.642922653622745,0.15,42.0
307200,384000000,3,7.882705344474224,0.12,42.0
307200,384000000,4,8.165931732810714,0.09,42.0
307200,460800000,1,6.687174000267487,0.25,42.0
307200,460800000,2,7.642922653622745,0.15,42.0
307200,460800000,3,7.882705344474224,0.12,42.0
307200,460800000,4,8.165931732810714,0.09,42.0
307200,537600000,1,6.687174000267487,0.25,42.0
307200,537600000,2,7.642922653622745,0.15,42.0
307200,537600000,3,7.882705344474224,0.12,42.0
307200,537600000,4,8.165931732810714,0.09,42.0
307200,614400000,1,6.687174000267487,0.25,42.0
307200,614400000,2,7.642922653622745,0.15,42.0
307200,614400000,3,7.882705344474224,0.12,42.0
307200,614400000,4,8.165931732810714,0.09,42.0
307200,691200000,1,6.687174000267487,0.25,76.0
307200,691200000,2,7.642922653622745,0.15,76.0
307200,691200000,3,7.882705344474224,0.12,76.0
307200,691200000,4,8.165931732810714,0.09,76.0
307200,768000000,1,6.687174000267487,0.25,85.0
307200,768000000,2,7.642922653622745,0.15,85.0
307200,768000000,3,7.882705344474224,0.12,85.0
307200,768000000,4,8.165931732810714,0.09,85.0
307200,844800000,1,6.687174000267487,0.25,85.0
307200,844800000,2,7.642922653622745,0.15,85.0
307200,844800000,3,7.882705344474224,0.12,85.0
307200,844800000,4,8.165931732810714,0.09,85.0
307200,921600000,1,6.687174000267487,0.25,127.0
307200,921600000,2,7.642922653622745,0.15,127.0
307200,921600000,3,7.882705344474224,0.12,127.0
307200,921600000,4,8.165931732810714,0.09,127.0
403200,76800000,1,9.065361254645998,0.26,6.0
403200,76800000,2,10.211375472276115,0.16,6.0
403200,76800000,3,10.713520462824084,0.12,6.0
403200,76800000,4,11.079104808331486,0.09,6.0
403200,153600000,1,9.065361254645998,0.26,32.0
403200,153600000,2,10.211375472276115,0.16,32.0
403200,153600000,3,10.713520462824084,0.12,32.0
403200,153600000,4,11.079104808331486,0.09,32.0
403200,230400000,1,9.065361254645998,0.26,37.0
403200,230400000,2,10.211375472276115,0.16,37.0
403200,230400000,3,10.713520462824084,0.12,37.0
403200,230400000,4,11.079104808331486,0.09,37.0
403200,307200000,1,9.065361254645998,0.26,42.0
403200,307200000,2,10.211375472276115,0.16,42.0
403200,307200000,3,10.713520462824084,0.12,42.0
403200,307200000,4,11.079104808331486,0.09,42.0
403200,384000000,1,9.065361254645998,0.26,42.0
403200,384000000,2,10.211375472276115,0.16,42.0
403200,384000000,3,10.713520462824084,0.12,42.0
403200,384000000,4,11.079104808331486,0.09,42.0
403200,460800000,1,9.065361254645998,0.26,42.0
403200,460800000,2,10.211375472276115,0.16,42.0
403200,460800000,3,10.713520462824084,0.12,42.0
403200,460800000,4,11.079104808331486,0.09,42.0
403200,537600000,1,9.065361254645998,0.26,42.0
403200,537600000,2,10.211375472276115,0.16,42.0
403200,537600000,3,10.713520462824084,0.12,42.0
403200,537600000,4,11.079104808331486,0.09,42.0
403200,614400000,1,9.065361254645998,0.26,42.0
403200,614400000,2,10.211375472276115,0.16,42.0
403200,614400000,3,10.713520462824084,0.12,42.0
403200,614400000,4,11.079104808331486,0.09,42.0
403200,691200000,1,9.065361254645998,0.26,76.0
403200,691200000,2,10.211375472276115,0.16,76.0
403200,691200000,3,10.713520462824084,0.12,76.0
403200,691200000,4,11.079104808331486,0.09,76.0
