F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0.5662482092400383,0.63,6.0
102000,76800000,2,0.8651192566895346,0.48,6.0
102000,76800000,3,1.0516021158234572,0.39,6.0
102000,76800000,4,0.971722864639005,0.43,6.0
102000,153600000,1,0.5662482092400383,0.63,32.0
102000,153600000,2,0.8651192566895346,0.48,32.0
102000,153600000,3,1.0516021158234572,0.39,32.0
102000,153600000,4,0.971722864639005,0.43,32.0
102000,230400000,1,0.5662482092400383,0.63,37.0
102000,230400000,2,0.8651192566895346,0.48,37.0
102000,230400000,3,1.0516021158234572,0.39,37.0
102000,230400000,4,0.971722864639005,0.43,37.0
102000,307200000,1,0.5662482092400383,0.63,42.0
102000,307200000,2,0.8651192566895346,0.48,42.0
102000,307200000,3,1.0516021158234572,0.39,42.0
102000,307200000,4,0.971722864639005,0.43,42.0
102000,384000000,1,0.5662482092400383,0.63,42.0
102000,384000000,2,0.8651192566895346,0.48,42.0
102000,384000000,3,1.0516021158234572,0.39,42.0
102000,384000000,4,0.971722864639005,0.43,42.0
102000,460800000,1,0.5662482092400383,0.63,42.0
102000,460800000,2,0.8651192566895346,0.48,42.0
102000,460800000,3,1.0516021158234572,0.39,42.0
102000,460800000,4,0.971722864639005,0.43,42.0
102000,537600000,1,0.5662482092400383,0.63,42.0
102000,537600000,2,0.8651192566895346,0.48,42.0
102000,537600000,3,1.0516021158234572,0.39,42.0
102000,537600000,4,0.971722864639005,0.43,42.0
102000,614400000,1,0.5662482092400383,0.63,42.0
102000,614400000,2,0.8651192566895346,0.48,42.0
102000,614400000,3,1.0516021158234572,0.39,42.0
102000,614400000,4,0.971722864639005,0.43,42.0
102000,691200000,1,0.5662482092400383,0.63,76.0
102000,691200000,2,0.8651192566895346,0.48,76.0
102000,691200000,3,1.0516021158234572,0.39,76.0
102000,691200000,4,0.971722864639005,0.43,76.0
102000,768000000,1,0.5662482092400383,0.63,85.0
102000,768000000,2,0.8651192566895346,0.48,85.0
102000,768000000,3,1.0516021158234572,0.39,85.0
102000,768000000,4,0.971722864639005,0.43,85.0
102000,844800000,1,0.5662482092400383,0.63,85.0
102000,844800000,2,0.8651192566895346,0.48,85.0
102000,844800000,3,1.0516021158234572,0.39,85.0
102000,844800000,4,0.971722864639005,0.43,85.0
102000,921600000,1,0.5662482092400383,0.63,127.0
102000,921600000,2,0.8651192566895346,0.48,127.0
102000,921600000,3,1.0516021158234572,0.39,127.0
102000,921600000,4,0.971722864639005,0.43,127.0
204000,76800000,1,1.1864788866082128,0.65,6.0
204000,76800000,2,1.777714570148617,0.5,6.0
204000,76800000,3,2.143990394923031,0.39,6.0
204000,76800000,4,2.3494584498273148,0.33,6.0
204000,153600000,1,1.1864788866082128,0.65,32.0
204000,153600000,2,1.777714570148617,0.5,32.0
204000,153600000,3,2.143990394923031,0.39,32.0
204000,153600000,4,2.3494584498273148,0.33,32.0
204000,230400000,1,1.1864788866082128,0.65,37.0
204000,230400000,2,1.777714570148617,0.5,37.0
204000,230400000,3,2.143990394923031,0.39,37.0
204000,230400000,4,2.3494584498273148,0.33,37.0
204000,307200000,1,1.1864788866082128,0.65,42.0
204000,307200000,2,1.777714570148617,0.5,42.0
204000,307200000,3,2.143990394923031,0.39,42.0
204000,307200000,4,2.3494584498273148,0.33,42.0
204000,384000000,1,1.1864788866082128,0.65,42.0
204000,384000000,2,1.777714570148617,0.5,42.0
204000,384000000,3,2.143990394923031,0.39,42.0
204000,384000000,4,2.3494584498273148,0.33,42.0
204000,460800000,1,1.1864788866082128,0.65,42.0
204000,460800000,2,1.777714570148617,0.5,42.0
204000,460800000,3,2.143990394923031,0.39,42.0
204000,460800000,4,2.3494584498273148,0.33,42.0
204000,537600000,1,1.1864788866082128,0.65,42.0
204000,537600000,2,1.777714570148617,0.5,42.0
204000,537600000,3,2.143990394923031,0.39,42.0
204000,537600000,4,2.3494584498273148,0.33,42.0
204000,614400000,1,1.1864788866082128,0.65,42.0
204000,614400000,2,1.777714570148617,0.5,42.0
204000,614400000,3,2.143990394923031,0.39,42.0
204000,614400000,4,2.3494584498273148,0.33,42.0
204000,691200000,1,1.1864788866082128,0.65,76.0
204000,691200000,2,1.777714570148617,0.5,76.0
204000,691200000,3,2.143990394923031,0.39,76.0
204000,691200000,4,2.3494584498273148,0.33,76.0
204000,768000000,1,1.1864788866082128,0.65,85.0
204000,768000000,2,1.777714570148617,0.5,85.0
204000,768000000,3,2.143990394923031,0.39,85.0
204000,768000000,4,2.3494584498273148,0.33,85.0
204000,844800000,1,1.1864788866082128,0.65,85.0
204000,844800000,2,1.777714570148617,0.5,85.0
204000,844800000,3,2.143990394923031,0.39,85.0
204000,844800000,4,2.3494584498273148,0.33,85.0
204000,921600000,1,1.1864788866082128,0.65,127.0
204000,921600000,2,1.777714570148617,0.5,127.0
204000,921600000,3,2.143990394923031,0.39,127.0
204000,921600000,4,2.3494584498273148,0.33,127.0
307200,76800000,1,1.794333494823348,0.65,6.0
307200,76800000,2,2.6520978093672096,0.5,6.0
307200,76800000,3,3.21853878339234,0.39,6.0
307200,76800000,4,3.5472313859033022,0.33,6.0
307200,153600000,1,1.794333494823348,0.65,32.0
307200,153600000,2,2.6520978093672096,0.5,32.0
307200,153600000,3,3.21853878339234,0.39,32.0
307200,153600000,4,3.5472313859033022,0.33,32.0
307200,230400000,1,1.794333494823348,0.65,37.0
307200,230400000,2,2.6520978093672096,0.5,37.0
307200,230400000,3,3.21853878339234,0.39,37.0
307200,230400000,4,3.5472313859033022,0.33,37.0
307200,307200000,1,1.794333494823348,0.65,42.0
307200,307200000,2,2.6520978093672096,0.5,42.0
307200,307200000,3,3.21853878339234,0.39,42.0
307200,307200000,4,3.5472313859033022,0.33,42.0
307200,384000000,1,1.794333494823348,0.65,42.0
307200,384000000,2,2.6520978093672096,0.5,42.0
307200,384000000,3,3.21853878339234,0.39,42.0
307200,384000000,4,3.5472313859033022,0.33,42.0
307200,460800000,1,1.794333494823348,0.65,42.0
307200,460800000,2,2.6520978093672096,0.5,42.0
307200,460800000,3,3.21853878339234,0.39,42.0
307200,460800000,4,3.5472313859033022,0.33,42.0
307200,537600000,1,1.794333494823348,0.65,42.0
307200,537600000,2,2.6520978093672096,0.5,42.0
307200,537600000,3,3.21853878339234,0.39,42.0
307200,537600000,4,3.5472313859033022,0.33,42.0
307200,614400000,1,1.794333494823348,0.65,42.0
307200,614400000,2,2.6520978093672096,0.5,42.0
307200,614400000,3,3.21853878339234,0.39,42.0
307200,614400000,4,3.5472313859033022,0.33,42.0
307200,691200000,1,1.794333494823348,0.65,76.0
307200,691200000,2,2.6520978093672096,0.5,76.0
307200,691200000,3,3.21853878339234,0.39,76.0
307200,691200000,4,3.5472313859033022,0.33,76.0
307200,768000000,1,1.794333494823348,0.65,85.0
307200,768000000,2,2.6520978093672096,0.5,85.0
307200,768000000,3,3.21853878339234,0.39,85.0
307200,768000000,4,3.5472313859033022,0.33,85.0
307200,844800000,1,1.794333494823348,0.65,85.0
307200,844800000,2,2.6520978093672096,0.5,85.0
307200,844800000,3,3.21853878339234,0.39,85.0
307200,844800000,4,3.5472313859033022,0.33,85.0
307200,921600000,1,1.794333494823348,0.65,127.0
307200,921600000,2,2.6520978093672096,0.5,127.0
307200,921600000,3,3.21853878339234,0.39,127.0
307200,921600000,4,3.5472313859033022,0.33,127.0
403200,76800000,1,2.3400570973931765,0.66,6.0
403200,76800000,2,3.474514436607484,0.48,6.0
403200,76800000,3,4.168056018672891,0.39,6.0
403200,76800000,4,4.602780079167817,0.32,6.0
403200,153600000,1,2.3400570973931765,0.66,32.0
403200,153600000,2,3.474514436607484,0.48,32.0
403200,153600000,3,4.168056018672891,0.39,32.0
403200,153600000,4,4.602780079167817,0.32,32.0
403200,230400000,1,2.3400570973931765,0.66,37.0
