F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,768000000,1,0,3.6766057575646163,0.0,85.0
102000,768000000,1,10,3.284072249589491,0.04,85.0
102000,768000000,1,20,3.141788934619372,0.07,85.0
102000,768000000,1,30,2.9881073328153946,0.11,84.67
102000,768000000,1,40,2.8824258495950192,0.14,85.0
102000,768000000,1,50,2.7911910012002124,0.17,85.0
102000,768000000,1,60,2.708192281651997,0.19,85.0
102000,768000000,1,70,2.6063386155129273,0.22,85.0
102000,768000000,1,80,2.5415544146800184,0.24,85.0
102000,768000000,1,90,2.4485798237022527,0.26,85.0
102000,768000000,1,100,2.4036150370156713,0.28,85.0
102000,844800000,1,0,3.648836021309202,0.0,85.0
102000,844800000,1,10,3.2795487340941887,0.04,85.0
102000,844800000,1,20,3.126074588139673,0.08,127.0
102000,844800000,1,30,2.99060948621329,0.11,127.0
102000,844800000,1,40,2.8763734683311277,0.14,127.0
102000,844800000,1,50,2.781099646800345,0.17,127.0
102000,844800000,1,60,2.6959264551263042,0.19,127.0
102000,844800000,1,70,2.600780234070221,0.22,127.0
102000,844800000,1,80,2.523149900335579,0.24,127.0
102000,844800000,1,90,2.44636348068596,0.26,127.0
102000,844800000,1,100,2.3813492724977974,0.28,127.0
102000,921600000,1,0,3.696721008465491,0.0,127.0
102000,921600000,1,10,3.331445514208615,0.04,127.0
102000,921600000,1,20,3.1758130081300813,0.07,127.0
102000,921600000,1,30,3.0440473653770055,0.11,127.0
102000,921600000,1,40,2.928686484111876,0.13,127.0
102000,921600000,1,50,2.8331019633396606,0.16,127.0
102000,921600000,1,60,2.737176328899108,0.19,127.0
102000,921600000,1,70,2.651464934376243,0.21,127.0
102000,921600000,1,80,2.5770539119678384,0.24,127.0
102000,921600000,1,90,2.5048845248234053,0.26,127.0
102000,921600000,1,100,2.432498175626368,0.28,127.0
204000,76800000,1,0,7.324934075593319,0.0,24.0
204000,76800000,1,10,5.388802069299995,0.22,42.0
204000,76800000,1,20,4.38365772400491,0.36,42.0
204000,76800000,1,30,3.6527011725170766,0.46,42.0
204000,76800000,1,40,3.1716832122807572,0.53,42.0
204000,76800000,1,50,2.7963423841615165,0.58,42.0
204000,76800000,1,60,2.5077740997090983,0.63,42.0
204000,76800000,1,70,2.276193294334555,0.66,42.0
204000,76800000,1,80,2.076886332011049,0.69,42.0
204000,76800000,1,90,1.9118265590945591,0.71,42.0
204000,76800000,1,100,1.7856186275735229,0.73,42.0
204000,153600000,1,0,7.349698662354843,0.0,30.0
204000,153600000,1,10,5.961251862891207,0.13,42.0
204000,153600000,1,20,5.164755707055056,0.24,42.0
204000,153600000,1,30,4.511210357738982,0.33,42.0
204000,153600000,1,40,4.0477636106051404,0.39,52.75
204000,153600000,1,50,3.6972677191555436,0.45,74.25
204000,153600000,1,60,3.384209279501844,0.5,85.0
204000,153600000,1,70,3.12217053295451,0.53,85.0
204000,153600000,1,80,2.911208151382824,0.56,85.0
204000,153600000,1,90,2.685573101299817,0.6,70.67
204000,153600000,1,100,2.53151739152448,0.62,85.0
204000,230400000,1,0,7.38061849582995,0.0,42.0
204000,230400000,1,10,6.20347394540943,0.1,42.0
204000,230400000,1,20,5.629362756136006,0.18,42.0
204000,230400000,1,30,5.080526342529086,0.25,85.0
204000,230400000,1,40,4.69682025268893,0.3,85.0
204000,230400000,1,50,4.351231398485772,0.35,85.0
204000,230400000,1,60,4.073983541106494,0.39,85.0
204000,230400000,1,70,3.8321517532094274,0.43,85.0
204000,230400000,1,80,3.5755148741418763,0.47,85.0
204000,230400000,1,90,3.35874785879824,0.49,85.0
204000,230400000,1,100,3.224454261116306,0.52,85.0
204000,307200000,1,0,7.3991860895301516,0.0,42.0
204000,307200000,1,10,6.317518478741551,0.08,42.0
204000,307200000,1,20,5.78904712284358,0.15,42.0
204000,307200000,1,30,5.3109565032662385,0.22,85.0
204000,307200000,1,40,4.930237144406646,0.27,85.0
204000,307200000,1,50,4.617657923900997,0.32,85.0
204000,307200000,1,60,4.338771259979174,0.36,85.0
204000,307200000,1,70,4.095171792456694,0.39,85.0
204000,307200000,1,80,3.862196817549822,0.42,85.0
204000,307200000,1,90,3.6380834576345182,0.46,85.0
204000,307200000,1,100,3.5706634292651573,0.47,85.0
204000,384000000,1,0,7.354022650389764,0.0,42.0
204000,384000000,1,10,6.357683260219976,0.08,42.0
204000,384000000,1,20,5.870611717740989,0.14,76.4
204000,384000000,1,30,5.407743889249406,0.2,85.0
204000,384000000,1,40,5.055356149840756,0.25,85.0
204000,384000000,1,50,4.73798919738463,0.29,85.0
204000,384000000,1,60,4.480688233712698,0.33,85.0
204000,384000000,1,70,4.262211235188816,0.36,95.5
204000,384000000,1,80,4.094501085042788,0.39,117.0
204000,384000000,1,90,3.819417920708884,0.43,116.5
204000,384000000,1,100,3.672150411280846,0.44,116.75
204000,460800000,1,0,7.351319561861354,0.0,42.0
204000,460800000,1,10,6.350415952244872,0.08,42.0
204000,460800000,1,20,5.882352941176471,0.13,85.0
204000,460800000,1,30,5.466870763175159,0.19,85.0
204000,460800000,1,40,5.152779924769414,0.23,85.0
204000,460800000,1,50,4.833953690723643,0.28,85.0
204000,460800000,1,60,4.588839941262849,0.31,85.0
204000,460800000,1,70,4.385195579722856,0.34,116.75
204000,460800000,1,80,4.140101018464851,0.38,127.0
204000,460800000,1,90,3.9703021399928535,0.4,127.0
204000,460800000,1,100,3.793051130329237,0.43,127.0
204000,537600000,1,0,7.338910905621606,0.0,42.0
204000,537600000,1,10,6.37551801083838,0.07,84.83
204000,537600000,1,20,5.944243000653867,0.13,84.0
204000,537600000,1,30,5.519068381257243,0.18,84.0
204000,537600000,1,40,5.202372281760483,0.22,118.4
204000,537600000,1,50,4.935103390416029,0.26,127.0
204000,537600000,1,60,4.645976584278015,0.3,127.0
204000,537600000,1,70,4.493372275893058,0.33,127.0
204000,537600000,1,80,4.268943436499466,0.36,127.0
204000,537600000,1,90,4.043998705920414,0.39,127.0
204000,537600000,1,100,3.8794273965162747,0.41,127.0
204000,614400000,1,0,7.415647015202077,0.0,42.0
204000,614400000,1,10,6.466214031684449,0.07,84.0
204000,614400000,1,20,5.996282304970918,0.13,84.0
204000,614400000,1,30,5.5894024928735115,0.18,127.0
204000,614400000,1,40,5.254032469920664,0.23,127.0
204000,614400000,1,50,4.9684503403388485,0.27,127.0
204000,614400000,1,60,4.715424152402509,0.3,160.6
204000,614400000,1,70,4.49458402624837,0.33,160.6
204000,614400000,1,80,4.2883485569707105,0.36,169.0
204000,614400000,1,90,4.1034058268362745,0.39,169.0
204000,614400000,1,100,3.943995267205679,0.41,169.0
204000,691200000,1,0,7.364312541424258,0.0,84.71
204000,691200000,1,10,6.415602745877975,0.06,84.0
204000,691200000,1,20,5.982650314089141,0.12,127.0
204000,691200000,1,30,5.563282336578581,0.17,127.0
204000,691200000,1,40,5.266206751277055,0.21,143.8
204000,691200000,1,50,4.990518015770037,0.25,169.0
204000,691200000,1,60,4.752625825768737,0.29,169.0
204000,691200000,1,70,4.536381781890764,0.32,169.0
204000,691200000,1,80,4.332755632582322,0.35,169.0
204000,691200000,1,90,4.152134196977246,0.37,169.0
204000,691200000,1,100,4.02657539762432,0.39,169.0
204000,768000000,1,0,7.35564545788893,0.0,84.29
204000,768000000,1,10,6.418897233455293,0.07,127.0
204000,768000000,1,20,6.003842459173871,0.12,127.0
204000,768000000,1,30,5.593779716954746,0.17,169.0
204000,768000000,1,40,5.3016647227229345,0.21,169.0
204000,768000000,1,50,5.039052658100277,0.25,169.0
204000,768000000,1,60,4.786979415988511,0.28,212.0
204000,768000000,1,70,4.5877873101803,0.32,212.0
204000,768000000,1,80,4.388081969371188,0.34,212.0
204000,768000000,1,90,4.204860819106887,0.37,212.0
204000,768000000,1,100,4.045962129794465,0.39,212.0
204000,844800000,1,0,7.400281210686006,0.0,90.14
204000,844800000,1,10,6.481301445330223,0.07,127.0
204000,844800000,1,20,6.032090722644469,0.12,169.0
204000,844800000,1,30,5.6785917092561045,0.17,177.6
204000,844800000,1,40,5.3276505061267985,0.21,212.0
204000,844800000,1,50,5.051270394504217,0.25,212.0
204000,844800000,1,60,4.820671037408407,0.29,212.0
204000,844800000,1,70,4.612971676353907,0.32,220.4
