F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0,3.2933737320511134,0.0,6.0
102000,76800000,1,10,0.047510452299505894,0.99,6.0
102000,76800000,1,20,0.023970296009185415,0.99,6.0
102000,76800000,1,30,0.015513665212001992,1.0,6.0
102000,76800000,1,40,0.01173697899550239,1.0,6.0
102000,76800000,1,50,0.009443405669820765,1.0,6.0
102000,76800000,1,60,0.007899518129394108,1.0,6.0
102000,76800000,1,70,0.00678877408317606,1.0,6.0
102000,76800000,1,80,0.005953373181244493,1.0,6.0
102000,76800000,1,90,0.005297143250644927,1.0,6.0
102000,76800000,1,100,0.004821810011041945,1.0,6.0
102000,76800000,2,0,3.9663652229097255,0.0,6.0
102000,76800000,2,10,0.09358914365933552,0.97,6.0
102000,76800000,2,20,0.04748743957223314,0.99,6.0
102000,76800000,2,30,0.030776332999923058,0.99,6.0
102000,76800000,2,40,0.02331997098995609,0.99,6.0
102000,76800000,2,50,0.01876915627011819,0.99,6.0
102000,76800000,2,60,0.01571045012010639,1.0,6.0
102000,76800000,2,70,0.013506194616160701,1.0,6.0
102000,76800000,2,80,0.011843878728156926,1.0,6.0
102000,76800000,2,90,0.010546020195628674,1.0,6.0
102000,76800000,2,100,0.00960015360245764,1.0,6.0
102000,76800000,3,0,3.922337713277113,0.0,6.0
102000,76800000,3,10,0.13872704067476832,0.96,6.0
102000,76800000,3,20,0.07069186124601474,0.98,6.0
102000,76800000,3,30,0.0459269669371765,0.99,6.0
102000,76800000,3,40,0.034816032086455166,0.99,6.0
102000,76800000,3,50,0.028029183986366606,0.99,6.0
102000,76800000,3,60,0.023479469551823885,0.99,6.0
102000,76800000,3,70,0.02018000565040158,0.99,6.0
102000,76800000,3,80,0.017714415282580352,1.0,6.0
102000,76800000,3,90,0.015775607755288773,1.0,6.0
102000,76800000,3,100,0.014365648860444905,1.0,6.0
102000,76800000,4,0,4.007694773966015,0.0,6.0
102000,76800000,4,10,0.18025942937075037,0.95,6.0
102000,76800000,4,20,0.09245733094177037,0.97,6.0
102000,76800000,4,30,0.060041668918229256,0.98,6.0
102000,76800000,4,40,0.04589619199295035,0.99,6.0
102000,76800000,4,50,0.036928167328911805,0.99,6.0
102000,76800000,4,60,0.03091170997397234,0.99,6.0
102000,76800000,4,70,0.026587612831181953,0.99,6.0
102000,76800000,4,80,0.02330448238414177,0.99,6.0
102000,76800000,4,90,0.02053506156411457,0.99,6.0
102000,76800000,4,100,0.017525166138574994,1.0,6.0
102000,153600000,1,0,3.2933737320511134,0.0,32.0
102000,153600000,1,10,0.047510452299505894,0.99,32.0
102000,153600000,1,20,0.023970296009185415,0.99,32.0
102000,153600000,1,30,0.015513665212001992,1.0,32.0
102000,153600000,1,40,0.01173697899550239,1.0,32.0
102000,153600000,1,50,0.009443405669820765,1.0,32.0
102000,153600000,1,60,0.007899518129394108,1.0,32.0
102000,153600000,1,70,0.00678877408317606,1.0,32.0
102000,153600000,1,80,0.005953373181244493,1.0,32.0
102000,153600000,1,90,0.005297143250644927,1.0,32.0
102000,153600000,1,100,0.004821810011041945,1.0,32.0
102000,153600000,2,0,3.9663652229097255,0.0,32.0
102000,153600000,2,10,0.09358914365933552,0.97,32.0
102000,153600000,2,20,0.04748743957223314,0.99,32.0
102000,153600000,2,30,0.030776332999923058,0.99,32.0
102000,153600000,2,40,0.02331997098995609,0.99,32.0
102000,153600000,2,50,0.01876915627011819,0.99,32.0
102000,153600000,2,60,0.01571045012010639,1.0,32.0
102000,153600000,2,70,0.013506194616160701,1.0,32.0
102000,153600000,2,80,0.011843878728156926,1.0,32.0
