F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0,1.8657064497471967,0.0,6.0
102000,76800000,1,10,0.01183486575120035,0.99,6.0
102000,76800000,1,20,0.005936867352572741,1.0,6.0
102000,76800000,1,30,0.003829422216775933,1.0,6.0
102000,76800000,1,40,0.0028969469076540236,1.0,6.0
102000,76800000,1,50,0.002330307041255756,1.0,6.0
102000,76800000,1,60,0.0019473438230253933,1.0,6.0
102000,76800000,1,70,0.0016725372724931175,1.0,6.0
102000,76800000,1,80,0.0014678705162060243,1.0,6.0
102000,76800000,1,90,0.0013053807795734016,1.0,6.0
102000,76800000,1,100,0.0011885532810607601,1.0,6.0
102000,76800000,2,0,1.9912782014775285,0.0,6.0
102000,76800000,2,10,0.023257544747516092,0.99,6.0
102000,76800000,2,20,0.011636756323995223,0.99,6.0
102000,76800000,2,30,0.007528023065862674,1.0,6.0
102000,76800000,2,40,0.005696058327637275,1.0,6.0
102000,76800000,2,50,0.0045836446391984125,1.0,6.0
102000,76800000,2,60,0.0038349881307117354,1.0,6.0
102000,76800000,2,70,0.0032957507885083763,1.0,6.0
102000,76800000,2,80,0.002889213122806004,1.0,6.0
102000,76800000,2,90,0.0025723671179456046,1.0,6.0
102000,76800000,2,100,0.002341421383264925,1.0,6.0
102000,76800000,3,0,1.990366625532423,0.0,6.0
102000,76800000,3,10,0.034575635932383886,0.98,6.0
102000,76800000,3,20,0.017450636511966773,0.99,6.0
102000,76800000,3,30,0.01129833711074404,0.99,6.0
102000,76800000,3,40,0.008555051758063136,1.0,6.0
102000,76800000,3,50,0.006881128505074832,1.0,6.0
102000,76800000,3,60,0.005759804627427038,1.0,6.0
102000,76800000,3,70,0.004949000549339061,1.0,6.0
102000,76800000,3,80,0.004340334292547212,1.0,6.0
102000,76800000,3,90,0.00386286817962337,1.0,6.0
102000,76800000,3,100,0.00351723798335643,1.0,6.0
102000,76800000,4,0,2.0121938950037226,0.0,6.0
102000,76800000,4,10,0.04493553996791603,0.98,6.0
102000,76800000,4,20,0.022955260197874344,0.99,6.0
102000,76800000,4,30,0.014869070400587627,0.99,6.0
102000,76800000,4,40,0.01127750442360111,0.99,6.0
102000,76800000,4,50,0.009073257480900793,1.0,6.0
102000,76800000,4,60,0.007598091359450506,1.0,6.0
102000,76800000,4,70,0.0065330868181907266,1.0,6.0
102000,76800000,4,80,0.005728853369997995,1.0,6.0
102000,76800000,4,90,0.005098893030323117,1.0,6.0
102000,76800000,4,100,0.004634908275165234,1.0,6.0
102000,153600000,1,0,1.8657064497471967,0.0,32.0
102000,153600000,1,10,0.01183486575120035,0.99,32.0
102000,153600000,1,20,0.005936867352572741,1.0,32.0
102000,153600000,1,30,0.003829422216775933,1.0,32.0
102000,153600000,1,40,0.0028969469076540236,1.0,32.0
102000,153600000,1,50,0.002330307041255756,1.0,32.0
102000,153600000,1,60,0.0019473438230253933,1.0,32.0
102000,153600000,1,70,0.0016725372724931175,1.0,32.0
102000,153600000,1,80,0.0014678705162060243,1.0,32.0
102000,153600000,1,90,0.0013053807795734016,1.0,32.0
102000,153600000,1,100,0.0011885532810607601,1.0,32.0
102000,153600000,2,0,1.9912782014775285,0.0,32.0
102000,153600000,2,10,0.023257544747516092,0.99,32.0
102000,153600000,2,20,0.011636756323995223,0.99,32.0
102000,153600000,2,30,0.007528023065862674,1.0,32.0
102000,153600000,2,40,0.005696058327637275,1.0,32.0
102000,153600000,2,50,0.0045836446391984125,1.0,32.0
102000,153600000,2,60,0.0038349881307117354,1.0,32.0
102000,153600000,2,70,0.0032957507885083763,1.0,32.0
102000,153600000,2,80,0.002889213122806004,1.0,32.0
102000,153600000,2,90,0.0025723671179456046,1.0,32.0
102000,153600000,2,100,0.002341421383264925,1.0,32.0
102000,153600000,3,0,1.990366625532423,0.0,32.0
102000,153600000,3,10,0.034575635932383886,0.98,32.0
102000,153600000,3,20,0.017450636511966773,0.99,32.0
102000,153600000,3,30,0.01129833711074404,0.99,32.0
102000,153600000,3,40,0.008555051758063136,1.0,32.0
102000,153600000,3,50,0.006881128505074832,1.0,32.0
102000,153600000,3,60,0.005759804627427038,1.0,32.0
102000,153600000,3,70,0.004949000549339061,1.0,32.0
102000,153600000,3,80,0.004340334292547212,1.0,32.0
102000,153600000,3,90,0.00386286817962337,1.0,32.0
102000,153600000,3,100,0.00351723798335643,1.0,32.0
102000,153600000,4,0,2.0121938950037226,0.0,32.0
102000,153600000,4,10,0.04493553996791603,0.98,32.0
102000,153600000,4,20,0.022955260197874344,0.99,32.0
102000,153600000,4,30,0.014869070400587627,0.99,32.0
102000,153600000,4,40,0.01127750442360111,0.99,32.0
102000,153600000,4,50,0.009073257480900793,1.0,32.0
102000,153600000,4,60,0.007598091359450506,1.0,32.0
102000,153600000,4,70,0.0065330868181907266,1.0,32.0
102000,153600000,4,80,0.005728853369997995,1.0,32.0
102000,153600000,4,90,0.005098893030323117,1.0,32.0
102000,153600000,4,100,0.004634908275165234,1.0,32.0
102000,230400000,1,0,1.8657064497471967,0.0,37.0
102000,230400000,1,10,0.01183486575120035,0.99,37.0
102000,230400000,1,20,0.005936867352572741,1.0,37.0
102000,230400000,1,30,0.003829422216775933,1.0,37.0
102000,230400000,1,40,0.0028969469076540236,1.0,37.0
102000,230400000,1,50,0.002330307041255756,1.0,37.0
102000,230400000,1,60,0.0019473438230253933,1.0,37.0
102000,230400000,1,70,0.0016725372724931175,1.0,37.0
102000,230400000,1,80,0.0014678705162060243,1.0,37.0
102000,230400000,1,90,0.0013053807795734016,1.0,37.0
102000,230400000,1,100,0.0011885532810607601,1.0,37.0
102000,230400000,2,0,1.9912782014775285,0.0,37.0
102000,230400000,2,10,0.023257544747516092,0.99,37.0
102000,230400000,2,20,0.011636756323995223,0.99,37.0
102000,230400000,2,30,0.007528023065862674,1.0,37.0
102000,230400000,2,40,0.005696058327637275,1.0,37.0
102000,230400000,2,50,0.0045836446391984125,1.0,37.0
102000,230400000,2,60,0.0038349881307117354,1.0,37.0
102000,230400000,2,70,0.0032957507885083763,1.0,37.0
102000,230400000,2,80,0.002889213122806004,1.0,37.0
102000,230400000,2,90,0.0025723671179456046,1.0,37.0
102000,230400000,2,100,0.002341421383264925,1.0,37.0
102000,230400000,3,0,1.990366625532423,0.0,37.0
102000,230400000,3,10,0.034575635932383886,0.98,37.0
102000,230400000,3,20,0.017450636511966773,0.99,37.0
102000,230400000,3,30,0.01129833711074404,0.99,37.0
102000,230400000,3,40,0.008555051758063136,1.0,37.0
102000,230400000,3,50,0.006881128505074832,1.0,37.0
102000,230400000,3,60,0.005759804627427038,1.0,37.0
102000,230400000,3,70,0.004949000549339061,1.0,37.0
102000,230400000,3,80,0.004340334292547212,1.0,37.0
102000,230400000,3,90,0.00386286817962337,1.0,37.0
102000,230400000,3,100,0.00351723798335643,1.0,37.0
102000,230400000,4,0,2.0121938950037226,0.0,37.0
102000,230400000,4,10,0.04493553996791603,0.98,37.0
102000,230400000,4,20,0.022955260197874344,0.99,37.0
102000,230400000,4,30,0.014869070400587627,0.99,37.0
102000,230400000,4,40,0.01127750442360111,0.99,37.0
102000,230400000,4,50,0.009073257480900793,1.0,37.0
102000,230400000,4,60,0.007598091359450506,1.0,37.0
102000,230400000,4,70,0.0065330868181907266,1.0,37.0
102000,230400000,4,80,0.005728853369997995,1.0,37.0
102000,230400000,4,90,0.005098893030323117,1.0,37.0
102000,230400000,4,100,0.004634908275165234,1.0,37.0
