F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0,1.9031306499191167,0.0,42.0
102000,76800000,1,10,1.4254151521630676,0.21,42.0
102000,76800000,1,20,1.16459175236121,0.34,42.0
102000,76800000,1,30,0.9761049508043105,0.45,42.0
102000,76800000,1,40,0.8455158069180103,0.52,42.0
102000,76800000,1,50,0.7534318822235282,0.57,42.0
102000,76800000,1,60,0.6715871619398124,0.62,42.0
102000,76800000,1,70,0.61159087017149,0.65,42.0
102000,76800000,1,80,0.5626670417780278,0.68,42.0
102000,76800000,1,90,0.5207492540266936,0.7,42.0
102000,76800000,1,100,0.485366208804543,0.72,42.0
102000,153600000,1,0,1.9057056828143462,0.0,42.0
102000,153600000,1,10,1.5717339368791652,0.13,42.0
102000,153600000,1,20,1.3666616555739295,0.23,42.0
102000,153600000,1,30,1.2099506340141322,0.31,42.0
102000,153600000,1,40,1.0967317394165388,0.38,42.0
102000,153600000,1,50,1.0044799807139844,0.43,42.0
102000,153600000,1,60,0.9346493195752953,0.46,42.0
102000,153600000,1,70,0.8636995707413134,0.5,42.0
102000,153600000,1,80,0.8036065863595817,0.54,42.0
102000,153600000,1,90,0.7501031391816374,0.57,42.0
102000,153600000,1,100,0.7088076437816305,0.59,42.0
102000,230400000,1,0,1.885440627474641,0.0,42.0
102000,230400000,1,10,1.6315609143267364,0.1,42.0
102000,230400000,1,20,1.4694645271263151,0.18,42.0
102000,230400000,1,30,1.3333866688000853,0.25,42.0
102000,230400000,1,40,1.218769043266301,0.31,42.0
102000,230400000,1,50,1.1366994793916385,0.35,42.0
102000,230400000,1,60,1.0551639724813235,0.4,42.0
102000,230400000,1,70,0.9899715878154297,0.44,42.0
102000,230400000,1,80,0.9420187461730489,0.46,42.0
102000,230400000,1,90,0.8855435023245517,0.49,42.0
102000,230400000,1,100,0.8386588168201412,0.52,42.0
102000,307200000,1,0,1.9047619047619047,0.0,42.0
102000,307200000,1,10,1.6542049890822472,0.09,42.0
102000,307200000,1,20,1.5052306766011891,0.16,42.0
102000,307200000,1,30,1.3776381771091641,0.22,42.0
102000,307200000,1,40,1.2893576420227442,0.27,42.0
102000,307200000,1,50,1.2087367492233867,0.32,42.0
102000,307200000,1,60,1.1297009681537296,0.36,42.0
102000,307200000,1,70,1.0641580913260473,0.39,42.0
102000,307200000,1,80,1.0121252606222546,0.43,42.0
102000,307200000,1,90,0.9556666252544461,0.46,42.0
102000,307200000,1,100,0.9193035356413981,0.47,42.0
102000,384000000,1,0,1.915635416267576,0.0,42.0
102000,384000000,1,10,1.671765551599044,0.08,42.0
102000,384000000,1,20,1.5452368075407557,0.14,42.0
102000,384000000,1,30,1.4279798369247028,0.2,42.0
102000,384000000,1,40,1.3273161667109106,0.24,42.0
102000,384000000,1,50,1.2565655550250057,0.28,42.0
102000,384000000,1,60,1.1860004506801713,0.32,42.0
102000,384000000,1,70,1.1266082332529685,0.36,42.0
102000,384000000,1,80,1.070434596446157,0.39,42.0
102000,384000000,1,90,1.0222335803731153,0.42,42.0
102000,384000000,1,100,0.9802864396976797,0.44,42.0
102000,460800000,1,0,1.905487804878049,0.0,42.0
102000,460800000,1,10,1.6774864542968815,0.07,42.0
102000,460800000,1,20,1.555161581288296,0.12,42.0
102000,460800000,1,30,1.4564308705087312,0.18,42.0
102000,460800000,1,40,1.3676148796498906,0.22,42.0
102000,460800000,1,50,1.2944816248333355,0.26,42.0
102000,460800000,1,60,1.2295737067958539,0.3,42.0
102000,460800000,1,70,1.172401664810364,0.33,42.0
102000,460800000,1,80,1.1144917360437772,0.36,42.0
102000,460800000,1,90,1.0721561059290232,0.39,42.0
102000,460800000,1,100,1.02535708060332,0.41,42.0
102000,537600000,1,0,1.9099642836678952,0.0,42.0
102000,537600000,1,10,1.7029392731855182,0.05,42.0
102000,537600000,1,20,1.5968318855390904,0.1,42.0
102000,537600000,1,30,1.5041439164899297,0.14,42.0
102000,537600000,1,40,1.4333218667583993,0.18,42.0
102000,537600000,1,50,1.372005597782839,0.22,42.0
102000,537600000,1,60,1.2980775471526669,0.25,42.0
102000,537600000,1,70,1.2554139727575169,0.28,42.0
102000,537600000,1,80,1.2132535821312012,0.3,42.0
102000,537600000,1,90,1.1601870221479704,0.33,42.0
102000,537600000,1,100,1.1198459092028936,0.35,42.0
102000,614400000,1,0,1.8770177941286883,0.0,42.0
102000,614400000,1,10,1.7002465357476835,0.05,42.0
102000,614400000,1,20,1.5888904777793667,0.09,42.0
102000,614400000,1,30,1.5183031444058122,0.14,42.0
102000,614400000,1,40,1.4546512473634445,0.17,42.0
102000,614400000,1,50,1.3907432131731199,0.21,42.0
102000,614400000,1,60,1.3283034907815736,0.23,42.0
102000,614400000,1,70,1.2857436741411232,0.27,42.0
102000,614400000,1,80,1.238344086287816,0.29,42.0
102000,614400000,1,90,1.1915258680265948,0.31,42.0
102000,614400000,1,100,1.1612513644703533,0.33,42.0
102000,691200000,1,0,1.8986500598074767,0.0,85.0
102000,691200000,1,10,1.692562878710944,0.05,85.0
102000,691200000,1,20,1.6063224853021494,0.09,85.0
102000,691200000,1,30,1.5394799636682728,0.13,85.0
102000,691200000,1,40,1.4719519554881728,0.16,85.0
