F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0.765872711955273,0.01,42.0
102000,153600000,1,0.7641170627340108,0.01,42.0
102000,230400000,1,0.7681376502669279,0.01,42.0
102000,307200000,1,0.7663246304399469,0.01,85.0
102000,384000000,1,0.7659431057461052,0.01,85.0
102000,460800000,1,0.7648710045050902,0.01,85.0
102000,537600000,1,0.7901702816957055,0.0,85.0
102000,614400000,1,0.7904700925640479,0.0,85.0
102000,691200000,1,0.7920854818652029,0.0,127.0
102000,768000000,1,0.7913145317000602,0.0,127.0
102000,844800000,1,0.7920666603301334,0.0,212.0
102000,921600000,1,0.7908827041861421,0.0,169.0
204000,76800000,1,1.4601737606775205,0.02,85.0
204000,153600000,1,1.4664261727743317,0.01,85.0
204000,230400000,1,1.469205453690644,0.01,85.0
204000,307200000,1,1.4687738675753481,0.01,85.0
204000,384000000,1,1.471085808435206,0.01,85.0
204000,460800000,1,1.4768212898557145,0.01,85.0
204000,537600000,1,1.5848614038702316,0.0,84.0
204000,614400000,1,1.5835061994267707,0.0,127.0
204000,691200000,1,1.5847358245380496,0.0,127.0
204000,768000000,1,1.585942208265931,0.0,169.0
204000,844800000,1,1.586898565443697,0.0,212.0
204000,921600000,1,1.5874779737431144,0.0,254.0
307200,76800000,1,2.060411258087114,0.02,85.0
307200,153600000,1,2.061685634174501,0.01,85.0
307200,230400000,1,2.054062936488374,0.02,85.0
307200,307200000,1,2.061983215456626,0.01,85.0
307200,384000000,1,2.0640686922060767,0.01,85.0
307200,460800000,1,2.064963759886014,0.01,85.0
307200,537600000,1,2.3674242424242427,0.0,84.0
307200,614400000,1,2.368657918423421,0.0,127.0
307200,691200000,1,2.3721415694088623,0.0,155.0
307200,768000000,1,2.3698928808417863,0.0,169.0
307200,844800000,1,2.3683774246263884,0.0,212.0
307200,921600000,1,2.371129131692512,0.0,212.0
403200,76800000,1,2.9636654614427123,0.03,84.0
403200,153600000,1,3.0218783996131995,0.02,84.0
403200,230400000,1,3.0464584920030466,0.01,84.0
403200,307200000,1,3.054274457102715,0.01,84.0
403200,384000000,1,3.0593202190473274,0.01,84.0
403200,460800000,1,3.0624119556562746,0.01,84.0
403200,537600000,1,3.063819357210699,0.01,84.0
403200,614400000,1,3.0641948827945455,0.01,127.0
403200,691200000,1,3.062036866923878,0.01,169.0
403200,768000000,1,3.0671083302662248,0.0,169.0
403200,844800000,1,3.066638044711583,0.0,212.0
403200,921600000,1,3.0639132299773273,0.0,211.67
518400,76800000,1,3.677687470118789,0.04,84.0
518400,153600000,1,3.8352381682902505,0.02,84.0
518400,230400000,1,3.858024691358025,0.01,84.0
518400,307200000,1,3.864136945013331,0.01,84.0
518400,384000000,1,3.8756685528253625,0.01,84.0
518400,460800000,1,3.887571434125102,0.01,84.0
518400,537600000,1,3.891807744697412,0.01,94.75
518400,614400000,1,3.8881760566118433,0.01,127.0
518400,691200000,1,3.8924136857265186,0.01,137.5
518400,768000000,1,3.893929364121335,0.01,169.0
518400,844800000,1,3.895142756982043,0.01,211.75
518400,921600000,1,3.8974199080208902,0.0,211.25
614400,76800000,1,4.257674458210925,0.04,84.0
614400,153600000,1,4.471871925588051,0.02,84.0
614400,230400000,1,4.5004500450045,0.02,84.0
614400,307200000,1,4.52100004521,0.01,84.0
