F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0,12.244398187829068,0.0,5.25
102000,76800000,1,10,10.208248264597795,0.16,42.0
102000,76800000,1,20,8.451656524678837,0.29,42.0
102000,76800000,1,30,7.327617791455998,0.38,42.0
102000,76800000,1,40,6.665777896280495,0.43,42.0
102000,76800000,1,50,5.852059925093633,0.49,42.0
102000,76800000,1,60,5.242189138184106,0.54,42.0
102000,76800000,1,70,4.954419342053111,0.57,42.0
102000,76800000,1,80,4.301260269258893,0.62,42.0
102000,76800000,1,90,4.063884260576259,0.64,42.0
102000,76800000,1,100,3.8912019922954197,0.66,42.0
102000,153600000,1,0,12.596044841919637,0.0,42.0
102000,153600000,1,10,11.114816049794376,0.11,42.0
102000,153600000,1,20,9.986019572598362,0.19,42.0
102000,153600000,1,30,8.976660682226212,0.27,42.0
102000,153600000,1,40,7.844983133286264,0.34,42.0
102000,153600000,1,50,6.90846286701209,0.42,42.0
102000,153600000,1,60,6.572461386789352,0.44,42.0
102000,153600000,1,70,6.222000995520159,0.49,42.0
102000,153600000,1,80,5.674402769108552,0.5,42.0
102000,153600000,1,90,4.593055300385816,0.58,42.0
102000,153600000,1,100,4.938759383642829,0.56,42.0
102000,230400000,1,0,11.87225454113736,0.0,42.0
102000,230400000,1,10,9.645061728395062,0.19,42.0
102000,230400000,1,20,8.035355564483728,0.31,42.0
102000,230400000,1,30,6.996921354603975,0.4,42.0
102000,230400000,1,40,6.169031462060457,0.46,42.0
102000,230400000,1,50,5.657388549445576,0.51,42.0
102000,230400000,1,60,5.1261021119540695,0.52,42.0
102000,230400000,1,70,4.591579044033243,0.58,42.0
102000,230400000,1,80,4.148000663680106,0.63,42.0
102000,230400000,1,90,3.776149837625557,0.66,42.0
102000,230400000,1,100,3.6097173591307805,0.67,42.0
102000,307200000,1,0,11.951715071112705,0.0,42.0
102000,307200000,1,10,9.722897423432183,0.18,42.0
102000,307200000,1,20,7.980209081477935,0.32,42.0
