F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0.8360225391676559,0.01,42.0
102000,153600000,1,0.8452728118000085,0.0,42.0
102000,230400000,1,0.8232010997966693,0.01,42.0
102000,307200000,1,0.8394825429605192,0.0,42.0
102000,384000000,1,0.8314418032309828,0.0,42.0
102000,460800000,1,0.8337988710363287,0.0,42.0
102000,537600000,1,0.8389472889418358,0.0,42.0
102000,614400000,1,0.8369111284072746,0.0,42.0
102000,691200000,1,0.8434476767233745,0.0,85.0
102000,768000000,1,0.8467472205522485,0.0,85.0
102000,844800000,1,0.8476443962228966,0.0,85.0
102000,921600000,1,0.8490189585933454,0.0,127.0
204000,76800000,1,1.7127393553249066,0.02,6.0
204000,153600000,1,1.7264895288410074,0.01,42.0
204000,230400000,1,1.7227715949419424,0.01,42.0
204000,307200000,1,1.7108347162580624,0.01,42.0
204000,384000000,1,1.7371968591480786,0.0,42.0
204000,460800000,1,1.7149422921918678,0.01,42.0
204000,537600000,1,1.7430712916158269,0.0,42.0
204000,614400000,1,1.7302235448819987,0.01,42.0
204000,691200000,1,1.765536723163842,0.01,85.0
204000,768000000,1,1.734906315058987,0.0,85.0
204000,844800000,1,1.745931978490118,0.0,85.0
204000,921600000,1,1.734454947532738,0.0,127.0
307200,76800000,1,2.4901638527815133,0.03,28.0
307200,153600000,1,2.5589845949127388,0.01,42.0
307200,230400000,1,2.544140843637104,0.01,42.0
307200,307200000,1,2.5787817834854816,0.01,42.0
307200,384000000,1,2.5851149083576765,0.01,42.0
307200,460800000,1,2.5620660500627706,0.01,42.0
307200,537600000,1,2.6147208785462155,0.01,42.0
307200,614400000,1,2.6469031233456857,0.0,42.0
307200,691200000,1,2.636227031871985,0.0,85.0
307200,768000000,1,2.632271650434325,0.01,85.0
307200,844800000,1,2.6016598589900357,0.0,85.0
307200,921600000,1,2.639567110993797,0.0,127.0
403200,76800000,1,3.318841060701603,0.03,42.0
403200,153600000,1,3.38375122660982,0.02,42.0
403200,230400000,1,3.3893709327548804,0.01,42.0
403200,307200000,1,3.4112229234180456,0.01,42.0
403200,384000000,1,3.4094783498124785,0.01,42.0
403200,460800000,1,3.4545894220471896,0.01,42.0
403200,537600000,1,3.413668327985253,0.01,42.0
403200,614400000,1,3.4628436872359587,0.01,42.0
403200,691200000,1,3.4757220812623824,0.01,84.5
403200,768000000,1,3.4265350877192984,0.0,85.0
403200,844800000,1,3.4205575508807935,0.0,85.0
403200,921600000,1,3.4374892578460687,0.0,127.0
518400,76800000,1,4.229223937407486,0.04,42.0
518400,153600000,1,4.343859953955084,0.02,42.0
518400,230400000,1,4.402377283733216,0.02,42.0
518400,307200000,1,4.384426517011574,0.01,42.0
518400,384000000,1,4.383849896979527,0.01,42.0
518400,460800000,1,4.463289444320464,0.01,42.0
518400,537600000,1,4.478480899278964,0.01,42.0
518400,614400000,1,4.497009488690021,0.01,58.8
518400,691200000,1,4.41696113074205,0.01,84.0
518400,768000000,1,4.461895413171515,0.01,85.0
518400,844800000,1,4.457122481725798,0.01,127.0
518400,921600000,1,4.437147801393264,0.01,127.0
614400,76800000,1,5.003252113874018,0.05,42.0
614400,153600000,1,5.135843048636433,0.03,42.0
614400,230400000,1,5.126890540886952,0.02,42.0
614400,307200000,1,5.25154920701607,0.01,42.0
614400,384000000,1,5.289326139849783,0.01,42.0
614400,460800000,1,5.267316302343956,0.01,42.0
614400,537600000,1,5.22384161312229,0.01,42.0
614400,614400000,1,5.299136240792751,0.01,84.0
614400,691200000,1,5.28597103287874,0.01,84.0
614400,768000000,1,5.305321237200912,0.01,85.0
614400,844800000,1,5.319431884674716,0.01,127.0
614400,921600000,1,5.311802825879104,0.01,127.0
710400,76800000,1,5.73855158957879,0.06,42.0
710400,153600000,1,5.857887645714955,0.03,42.0
710400,230400000,1,5.925574780753734,0.02,42.0
710400,307200000,1,5.94883997620464,0.02,42.0
710400,384000000,1,5.978000956480153,0.01,42.0
710400,460800000,1,5.997720866070893,0.01,42.0
710400,537600000,1,6.08976310821509,0.02,42.0
710400,614400000,1,6.078288353999513,0.01,84.0
710400,691200000,1,6.132335806708776,0.01,84.0
710400,768000000,1,6.139489194499018,0.01,85.0
710400,844800000,1,6.1072431904238424,0.01,127.0
710400,921600000,1,6.071645415907711,0.01,127.0
825600,76800000,1,6.584145377929945,0.06,42.0
825600,153600000,1,6.840413160954922,0.03,42.0
825600,230400000,1,6.961849067112226,0.02,42.0
825600,307200000,1,6.98909700866648,0.02,42.0
825600,384000000,1,6.9652434352580626,0.03,42.0
825600,460800000,1,7.073136228603763,0.01,42.0
825600,537600000,1,6.9696124895455815,0.01,42.0
825600,614400000,1,6.982265046781176,0.01,84.0
825600,691200000,1,7.062146892655368,0.01,84.0
825600,768000000,1,7.025925665706456,0.01,85.0
825600,844800000,1,6.998880179171333,0.01,127.0
825600,921600000,1,7.047713017125943,0.01,127.0
921600,76800000,1,7.253209545223761,0.07,42.0
921600,153600000,1,7.483349547257353,0.04,42.0
921600,230400000,1,7.5964752354907334,0.03,42.0
921600,307200000,1,7.747733787867049,0.02,42.0
921600,384000000,1,7.686985932815743,0.02,42.0
