F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,3.2781511227667592,0.03,42.0
102000,153600000,1,3.149804712107849,0.01,42.0
102000,230400000,1,3.15746266300401,0.01,42.0
102000,307200000,1,3.146138115463269,0.01,42.0
102000,384000000,1,3.15746266300401,0.01,42.0
102000,460800000,1,3.177932437156386,0.01,42.0
102000,537600000,1,3.2637075718015667,0.01,85.0
102000,614400000,1,3.2579657262005606,0.01,85.0
102000,691200000,1,3.266906239790918,0.01,85.0
102000,768000000,1,3.272786777941417,0.01,127.0
102000,844800000,1,3.2624298577580584,0.01,127.0
102000,921600000,1,3.252455603981006,0.01,169.33
204000,76800000,1,6.016123210203345,0.02,42.0
204000,153600000,1,6.0573020776546125,0.01,42.0
204000,230400000,1,6.073120369245719,0.01,42.0
204000,307200000,1,6.044852807834129,0.01,42.0
204000,384000000,1,6.035731530661516,0.02,42.0
204000,460800000,1,6.047046018020197,0.01,42.0
204000,537600000,1,6.562110374696503,0.01,70.33
204000,614400000,1,6.533812479581836,0.01,84.83
204000,691200000,1,6.535093451836361,0.01,84.5
204000,768000000,1,6.529119874640899,0.01,127.0
204000,844800000,1,6.54278984559016,0.01,127.0
204000,921600000,1,6.551362683438156,0.01,169.0
307200,76800000,1,8.436682696363789,0.02,42.0
307200,153600000,1,8.468834688346883,0.02,42.0
307200,230400000,1,8.454514710855596,0.02,42.0
307200,307200000,1,8.447372867038352,0.02,42.0
307200,384000000,1,8.48824378236143,0.02,42.0
307200,460800000,1,8.538251366120218,0.02,42.0
307200,537600000,1,9.721952167995333,0.01,78.75
307200,614400000,1,9.759906304899474,0.01,84.0
307200,691200000,1,9.735202492211839,0.01,84.0
307200,768000000,1,9.735202492211839,0.01,127.0
307200,844800000,1,9.706853038245,0.01,127.0
307200,921600000,1,9.72951936174353,0.01,169.0
403200,76800000,1,12.03369434416366,0.03,42.0
403200,153600000,1,12.481278082875686,0.02,42.0
403200,230400000,1,12.509382036527397,0.02,42.0
403200,307200000,1,12.592872434202242,0.01,42.0
403200,384000000,1,12.597631645250694,0.01,42.0
403200,460800000,1,12.618296529968454,0.01,42.0
403200,537600000,1,12.594458438287154,0.01,76.36
403200,614400000,1,12.57071024512885,0.01,84.0
403200,691200000,1,12.623074981065388,0.01,84.0
403200,768000000,1,12.61193088661874,0.01,127.0
403200,844800000,1,12.637432073802604,0.01,127.0
403200,921600000,1,12.589701624071509,0.01,169.0
518400,76800000,1,15.076134479119554,0.04,42.0
518400,153600000,1,15.738117721120554,0.02,42.0
518400,230400000,1,15.888147442008263,0.02,42.0
518400,307200000,1,15.867978419549349,0.01,42.0
518400,384000000,1,15.893197711379528,0.01,42.0
518400,460800000,1,15.913430935709739,0.01,42.0
518400,537600000,1,15.938795027095951,0.01,80.77
518400,614400000,1,15.926102882624622,0.01,84.0
518400,691200000,1,15.91849729385546,0.01,87.31
518400,768000000,1,15.91849729385546,0.01,127.0
518400,844800000,1,15.873015873015873,0.01,139.92
518400,921600000,1,15.931177314003504,0.01,169.0
614400,76800000,1,17.29804532087874,0.04,42.0
614400,153600000,1,18.241517694272165,0.02,42.0
614400,230400000,1,18.39249586168843,0.02,42.0
614400,307200000,1,18.446781036709094,0.01,42.0
614400,384000000,1,18.494544109487702,0.01,50.4
614400,460800000,1,18.611576400521127,0.01,56.0
614400,537600000,1,18.508236165093468,0.01,84.0
614400,614400000,1,18.618506795754982,0.01,84.0
614400,691200000,1,18.688095683049898,0.01,109.8
614400,768000000,1,18.646280067126607,0.01,127.0
614400,844800000,1,18.667164457718872,0.01,138.2
614400,921600000,1,18.653236336504385,0.01,169.0
710400,76800000,1,19.884668920262477,0.05,42.0
710400,153600000,1,20.89427496865859,0.03,42.0
710400,230400000,1,21.12824846820199,0.02,42.0
710400,307200000,1,21.331058020477816,0.02,42.0
710400,384000000,1,21.299254526091584,0.01,46.94
710400,460800000,1,21.39495079161318,0.01,69.18
710400,537600000,1,21.486892995272886,0.01,84.0
710400,614400000,1,21.468441391155004,0.01,84.0
710400,691200000,1,21.51925973746503,0.01,99.18
710400,768000000,1,21.510002151000215,0.01,127.0
710400,844800000,1,21.486892995272886,0.01,139.35
710400,921600000,1,21.49151085321298,0.01,169.0
825600,76800000,1,22.3563603845294,0.05,42.0
825600,153600000,1,23.601604909133822,0.03,42.0
825600,230400000,1,24.177949709864603,0.02,42.0
825600,307200000,1,24.28363283147159,0.02,42.0
