F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0,6.846501437765302,0.0,42.0
102000,76800000,1,10,5.509034817100043,0.18,42.0
102000,76800000,1,20,4.706989879971759,0.24,42.0
102000,76800000,1,30,4.16267743412563,0.32,42.0
102000,76800000,1,40,3.749390724007349,0.38,42.0
102000,76800000,1,50,3.470896532574364,0.45,42.0
102000,76800000,1,60,3.1792458828765815,0.47,42.0
102000,76800000,1,70,2.953598960333166,0.51,42.0
102000,76800000,1,80,2.7658691743880515,0.55,42.0
102000,76800000,1,90,2.5574139430208174,0.59,42.0
102000,76800000,1,100,2.4515211688852934,0.6,42.0
102000,153600000,1,0,6.949753283758427,0.0,42.0
102000,153600000,1,10,5.848979353102884,0.11,42.0
102000,153600000,1,20,5.178932104200114,0.2,42.0
102000,153600000,1,30,4.599816007359705,0.28,42.0
102000,153600000,1,40,4.207691660355129,0.34,42.0
102000,153600000,1,50,3.875968992248062,0.39,42.0
102000,153600000,1,60,3.628315373172236,0.42,42.0
102000,153600000,1,70,3.3387866849187007,0.46,42.0
102000,153600000,1,80,3.227263925643839,0.48,42.0
102000,153600000,1,90,2.97344711724302,0.53,42.0
102000,153600000,1,100,2.8044197655505076,0.55,42.0
102000,230400000,1,0,6.824075337791729,0.0,42.0
102000,230400000,1,10,5.790723261335341,0.11,42.0
102000,230400000,1,20,5.295207836907599,0.16,42.0
102000,230400000,1,30,4.609356994699239,0.27,42.0
102000,230400000,1,40,4.773041859577109,0.25,42.0
102000,230400000,1,50,4.728355950635963,0.26,42.0
102000,230400000,1,60,3.857578212398256,0.36,42.0
102000,230400000,1,70,3.436544211141276,0.43,42.0
102000,230400000,1,80,3.2131611078979496,0.48,42.0
102000,230400000,1,90,3.365416975163223,0.43,42.0
102000,230400000,1,100,2.879603766521727,0.54,42.0
102000,307200000,1,0,6.7123103772318435,0.0,42.0
102000,307200000,1,10,5.691843588138198,0.11,42.0
102000,307200000,1,20,5.374321491911647,0.13,42.0
102000,307200000,1,30,5.072794602546543,0.18,42.0
102000,307200000,1,40,4.792944785276074,0.23,42.0
102000,307200000,1,50,4.518344478583047,0.27,42.0
102000,307200000,1,60,4.256405890865753,0.3,42.0
102000,307200000,1,70,3.962593120938342,0.34,42.0
102000,307200000,1,80,3.717195747528065,0.41,42.0
102000,307200000,1,90,3.769886149438287,0.39,42.0
102000,307200000,1,100,3.134010279553717,0.48,42.0
102000,384000000,1,0,6.766815536608472,0.0,42.0
102000,384000000,1,10,5.7514234773106345,0.11,42.0
102000,384000000,1,20,5.135843048636433,0.19,42.0
102000,384000000,1,30,4.552075746540423,0.27,42.0
102000,384000000,1,40,4.355021339604564,0.29,42.0
102000,384000000,1,50,4.256768261535842,0.31,42.0
102000,384000000,1,60,3.6222697142029197,0.41,42.0
102000,384000000,1,70,3.387419125368382,0.44,42.0
102000,384000000,1,80,3.269897325223988,0.46,42.0
102000,384000000,1,90,2.938410907381288,0.52,42.0
102000,384000000,1,100,2.8705112380514968,0.52,42.0
102000,460800000,1,0,6.814310051107325,0.0,42.0
102000,460800000,1,10,5.991970759182696,0.07,42.0
102000,460800000,1,20,5.728689275893675,0.13,42.0
102000,460800000,1,30,5.296610169491525,0.19,42.0
102000,460800000,1,40,4.9950049950049955,0.23,42.0
102000,460800000,1,50,4.710537472325592,0.27,42.0
102000,460800000,1,60,4.427913567127169,0.31,42.0
102000,460800000,1,70,4.23908435777872,0.34,42.0
102000,460800000,1,80,3.9541320680110714,0.36,42.0
102000,460800000,1,90,3.7697440343800657,0.39,42.0
102000,460800000,1,100,3.6383481899217753,0.41,42.0
102000,537600000,1,0,6.939143709666227,0.0,42.0
102000,537600000,1,10,6.149305128520477,0.07,42.0
102000,537600000,1,20,5.704506560182544,0.13,42.0
102000,537600000,1,30,5.262603936427745,0.19,42.0
102000,537600000,1,40,4.991016170892394,0.23,50.6
102000,537600000,1,50,4.708097928436912,0.27,52.75
102000,537600000,1,60,4.47047252894631,0.31,52.75
102000,537600000,1,70,4.2389046670340385,0.34,74.25
102000,537600000,1,80,4.043017708417563,0.37,85.0
102000,537600000,1,90,3.86234598895369,0.39,74.25
102000,537600000,1,100,3.798526171845324,0.4,85.0
102000,614400000,1,0,6.93721817551162,0.0,42.0
102000,614400000,1,10,6.16865091604466,0.07,42.0
102000,614400000,1,20,5.686988171064604,0.13,85.0
102000,614400000,1,30,5.2815041723882965,0.19,85.0
102000,614400000,1,40,4.970178926441352,0.23,85.0
102000,614400000,1,50,4.696599661844824,0.27,85.0
102000,614400000,1,60,4.454144581533117,0.3,85.0
102000,614400000,1,70,4.231550440081246,0.34,85.0
102000,614400000,1,80,4.0345356249495685,0.37,85.0
102000,614400000,1,90,3.8553473667977487,0.39,85.0
102000,614400000,1,100,3.7100244861616085,0.42,85.0
102000,691200000,1,0,6.857769853243726,0.0,85.0
102000,691200000,1,10,5.905628063544557,0.1,85.0
102000,691200000,1,20,5.196424859696529,0.19,85.0
102000,691200000,1,30,4.68867216804201,0.26,85.0
102000,691200000,1,40,4.235134677282738,0.33,85.0
102000,691200000,1,50,3.906097418069607,0.38,84.75
102000,691200000,1,60,3.6603221083455346,0.42,85.0
102000,691200000,1,70,3.388222538456326,0.46,85.0
102000,691200000,1,80,3.26765349802307,0.48,85.0
102000,691200000,1,90,3.0043563166591554,0.52,85.0
102000,691200000,1,100,2.882841328413284,0.54,85.0
102000,768000000,1,0,7.054673721340388,0.0,85.0
102000,768000000,1,10,6.2359690695934145,0.07,85.0
102000,768000000,1,20,5.743495491356039,0.13,84.8
102000,768000000,1,30,5.310674455655868,0.19,85.0
102000,768000000,1,40,4.953192332458269,0.23,85.0
102000,768000000,1,50,4.701899567425239,0.27,116.5
102000,768000000,1,60,4.445432318292954,0.3,127.0
102000,768000000,1,70,4.2450227108715035,0.34,127.0
102000,768000000,1,80,4.063388866314506,0.37,127.0
102000,768000000,1,90,3.886060700268138,0.4,127.0
102000,768000000,1,100,3.7313432835820897,0.42,127.0
102000,844800000,1,0,7.063144511936714,0.0,85.0
102000,844800000,1,10,6.226650062266501,0.07,127.0
102000,844800000,1,20,5.782017924255565,0.13,127.0
102000,844800000,1,30,5.3384582532564595,0.19,127.0
102000,844800000,1,40,5.030181086519114,0.23,127.0
102000,844800000,1,50,4.744283138817725,0.27,127.0
102000,844800000,1,60,4.4824958536913355,0.31,127.0
102000,844800000,1,70,4.270401844813597,0.34,127.0
102000,844800000,1,80,4.06934158053227,0.37,127.0
102000,844800000,1,90,3.894232641458,0.4,127.0
102000,844800000,1,100,3.730229782154581,0.42,127.0
102000,921600000,1,0,7.031854299978904,0.0,127.0
102000,921600000,1,10,6.235191420376606,0.07,127.0
102000,921600000,1,20,5.769341718109963,0.13,127.0
102000,921600000,1,30,5.31660375352225,0.19,127.0
102000,921600000,1,40,5.023358617571708,0.23,135.4
102000,921600000,1,50,4.734400151500805,0.27,169.0
102000,921600000,1,60,4.49842555105713,0.31,169.0
102000,921600000,1,70,4.264392324093817,0.34,169.0
102000,921600000,1,80,4.05104314360948,0.37,169.0
102000,921600000,1,90,3.8725167486349377,0.4,169.0
102000,921600000,1,100,3.730229782154581,0.42,169.0
204000,76800000,1,0,13.900472616068948,0.0,25.2
204000,76800000,1,10,10.642826734780758,0.19,42.0
204000,76800000,1,20,9.020386072523904,0.31,42.0
204000,76800000,1,30,7.648768548263729,0.39,42.0
204000,76800000,1,40,6.758126647293371,0.45,42.0
204000,76800000,1,50,6.091617933723197,0.52,42.0
204000,76800000,1,60,5.488775454196169,0.55,42.0
204000,76800000,1,70,5.025883298989798,0.59,42.0
204000,76800000,1,80,4.628343978524484,0.62,42.0
