F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0.08219290675214729,0.63,6.0
102000,76800000,2,0.1171464987254461,0.46,6.0
102000,76800000,3,0.13148120147521908,0.4,6.0
102000,76800000,4,0.13913662938732577,0.36,6.0
102000,153600000,1,0.08219290675214729,0.63,32.0
102000,153600000,2,0.1171464987254461,0.46,32.0
102000,153600000,3,0.13148120147521908,0.4,32.0
102000,153600000,4,0.13913662938732577,0.36,32.0
102000,230400000,1,0.08219290675214729,0.63,37.0
102000,230400000,2,0.1171464987254461,0.46,37.0
102000,230400000,3,0.13148120147521908,0.4,37.0
102000,230400000,4,0.13913662938732577,0.36,37.0
102000,307200000,1,0.08219290675214729,0.63,42.0
102000,307200000,2,0.1171464987254461,0.46,42.0
102000,307200000,3,0.13148120147521908,0.4,42.0
102000,307200000,4,0.13913662938732577,0.36,42.0
102000,384000000,1,0.08219290675214729,0.63,42.0
102000,384000000,2,0.1171464987254461,0.46,42.0
102000,384000000,3,0.13148120147521908,0.4,42.0
102000,384000000,4,0.13913662938732577,0.36,42.0
102000,460800000,1,0.08219290675214729,0.63,42.0
102000,460800000,2,0.1171464987254461,0.46,42.0
102000,460800000,3,0.13148120147521908,0.4,42.0
102000,460800000,4,0.13913662938732577,0.36,42.0
102000,537600000,1,0.08219290675214729,0.63,42.0
102000,537600000,2,0.1171464987254461,0.46,42.0
102000,537600000,3,0.13148120147521908,0.4,42.0
102000,537600000,4,0.13913662938732577,0.36,42.0
102000,614400000,1,0.08219290675214729,0.63,42.0
102000,614400000,2,0.1171464987254461,0.46,42.0
102000,614400000,3,0.13148120147521908,0.4,42.0
102000,614400000,4,0.13913662938732577,0.36,42.0
102000,691200000,1,0.08219290675214729,0.63,76.0
102000,691200000,2,0.1171464987254461,0.46,76.0
102000,691200000,3,0.13148120147521908,0.4,76.0
102000,691200000,4,0.13913662938732577,0.36,76.0
102000,768000000,1,0.08219290675214729,0.63,85.0
102000,768000000,2,0.1171464987254461,0.46,85.0
102000,768000000,3,0.13148120147521908,0.4,85.0
102000,768000000,4,0.13913662938732577,0.36,85.0
102000,844800000,1,0.08219290675214729,0.63,85.0
102000,844800000,2,0.1171464987254461,0.46,85.0
102000,844800000,3,0.13148120147521908,0.4,85.0
102000,844800000,4,0.13913662938732577,0.36,85.0
102000,921600000,1,0.08219290675214729,0.63,127.0
102000,921600000,2,0.1171464987254461,0.46,127.0
102000,921600000,3,0.13148120147521908,0.4,127.0
102000,921600000,4,0.13913662938732577,0.36,127.0
204000,76800000,1,0.1693996476487329,0.62,6.0
204000,76800000,2,0.24346301796757075,0.46,6.0
204000,76800000,3,0.2723348629474802,0.39,6.0
204000,76800000,4,0.29877055914910144,0.34,6.0
204000,153600000,1,0.1693996476487329,0.62,32.0
204000,153600000,2,0.24346301796757075,0.46,32.0
204000,153600000,3,0.2723348629474802,0.39,32.0
204000,153600000,4,0.29877055914910144,0.34,32.0
204000,230400000,1,0.1693996476487329,0.62,37.0
204000,230400000,2,0.24346301796757075,0.46,37.0
204000,230400000,3,0.2723348629474802,0.39,37.0
204000,230400000,4,0.29877055914910144,0.34,37.0
204000,307200000,1,0.1693996476487329,0.62,42.0
204000,307200000,2,0.24346301796757075,0.46,42.0
204000,307200000,3,0.2723348629474802,0.39,42.0
204000,307200000,4,0.29877055914910144,0.34,42.0
204000,384000000,1,0.1693996476487329,0.62,42.0
204000,384000000,2,0.24346301796757075,0.46,42.0
204000,384000000,3,0.2723348629474802,0.39,42.0
204000,384000000,4,0.29877055914910144,0.34,42.0
204000,460800000,1,0.1693996476487329,0.62,42.0
204000,460800000,2,0.24346301796757075,0.46,42.0
204000,460800000,3,0.2723348629474802,0.39,42.0
204000,460800000,4,0.29877055914910144,0.34,42.0
204000,537600000,1,0.1693996476487329,0.62,42.0
204000,537600000,2,0.24346301796757075,0.46,42.0
204000,537600000,3,0.2723348629474802,0.39,42.0
204000,537600000,4,0.29877055914910144,0.34,42.0
204000,614400000,1,0.1693996476487329,0.62,42.0
204000,614400000,2,0.24346301796757075,0.46,42.0
204000,614400000,3,0.2723348629474802,0.39,42.0
204000,614400000,4,0.29877055914910144,0.34,42.0
204000,691200000,1,0.1693996476487329,0.62,76.0
204000,691200000,2,0.24346301796757075,0.46,76.0
204000,691200000,3,0.2723348629474802,0.39,76.0
204000,691200000,4,0.29877055914910144,0.34,76.0
204000,768000000,1,0.1693996476487329,0.62,85.0
204000,768000000,2,0.24346301796757075,0.46,85.0
204000,768000000,3,0.2723348629474802,0.39,85.0
204000,768000000,4,0.29877055914910144,0.34,85.0
204000,844800000,1,0.1693996476487329,0.62,85.0
204000,844800000,2,0.24346301796757075,0.46,85.0
204000,844800000,3,0.2723348629474802,0.39,85.0
204000,844800000,4,0.29877055914910144,0.34,85.0
204000,921600000,1,0.1693996476487329,0.62,127.0
204000,921600000,2,0.24346301796757075,0.46,127.0
204000,921600000,3,0.2723348629474802,0.39,127.0
204000,921600000,4,0.29877055914910144,0.34,127.0
307200,76800000,1,0.2550590971928196,0.63,6.0
307200,76800000,2,0.3669105398721684,0.46,6.0
307200,76800000,3,0.4151668763259392,0.39,6.0
307200,76800000,4,0.4510416807617192,0.34,6.0
307200,153600000,1,0.2550590971928196,0.63,32.0
307200,153600000,2,0.3669105398721684,0.46,32.0
307200,153600000,3,0.4151668763259392,0.39,32.0
307200,153600000,4,0.4510416807617192,0.34,32.0
307200,230400000,1,0.2550590971928196,0.63,37.0
307200,230400000,2,0.3669105398721684,0.46,37.0
307200,230400000,3,0.4151668763259392,0.39,37.0
307200,230400000,4,0.4510416807617192,0.34,37.0
307200,307200000,1,0.2550590971928196,0.63,42.0
307200,307200000,2,0.3669105398721684,0.46,42.0
307200,307200000,3,0.4151668763259392,0.39,42.0
307200,307200000,4,0.4510416807617192,0.34,42.0
307200,384000000,1,0.2550590971928196,0.63,42.0
307200,384000000,2,0.3669105398721684,0.46,42.0
307200,384000000,3,0.4151668763259392,0.39,42.0
307200,384000000,4,0.4510416807617192,0.34,42.0
307200,460800000,1,0.2550590971928196,0.63,42.0
